origin_date,target_date,horizon,origin_close,pred_close,actual_close,confidence,abs_error,ape_pct,dir_match,direction,regime,jump_regime_code,jump_signal,branch_used,branch_name
2026-04-13,2026-04-17,4,1043.4,1052.06,1054.02,41.2,1.96,0.185955,True,涨,high,0.0,0.32,True,trend_down
2026-04-13,2026-04-20,5,1043.4,1054.33,1054.96,32.9,0.63,0.059718,True,涨,high,0.0,0.32,True,trend_down
2026-04-14,2026-04-15,1,1052.82,1060.23,1058.24,45.4,1.99,0.188048,True,涨,high,0.0,0.198,True,trend_up
2026-04-14,2026-04-16,2,1052.82,1056.97,1061.5,56.5,4.53,0.426755,True,涨,high,0.0,0.198,True,trend_up
2026-04-14,2026-04-17,3,1052.82,1069.55,1054.02,60.6,15.53,1.473407,True,涨,high,0.0,0.198,True,trend_up
2026-04-14,2026-04-20,4,1052.82,1072.2,1054.96,29.3,17.24,1.634185,True,涨,high,0.0,0.198,True,trend_up
2026-04-14,2026-04-21,5,1052.82,1070.71,1051.7,37.3,19.01,1.80755,False,涨,high,0.0,0.198,True,trend_up
2026-04-15,2026-04-16,1,1058.24,1058.41,1061.5,46.1,3.09,0.291098,True,平,high,0.0,0.389,True,trend_up
2026-04-15,2026-04-17,2,1058.24,1061.5,1054.02,41.4,7.48,0.709664,False,涨,high,0.0,0.389,True,trend_up
2026-04-15,2026-04-20,3,1058.24,1074.42,1054.96,41.7,19.46,1.84462,False,涨,high,0.0,0.389,True,trend_up
2026-04-15,2026-04-21,4,1058.24,1076.65,1051.7,28.9,24.95,2.37235,False,涨,high,0.0,0.389,True,trend_up
2026-04-15,2026-04-22,5,1058.24,1077.42,1051.4,15.8,26.02,2.474796,False,涨,high,0.0,0.389,True,trend_up
2026-04-16,2026-04-17,1,1061.5,1066.84,1054.02,43.0,12.82,1.216296,False,涨,high,0.0,0.343,True,trend_up
2026-04-16,2026-04-20,2,1061.5,1071.41,1054.96,37.9,16.45,1.559301,False,涨,high,0.0,0.343,True,trend_up
2026-04-16,2026-04-21,3,1061.5,1073.63,1051.7,42.4,21.93,2.085195,False,涨,high,0.0,0.343,True,trend_up
2026-04-16,2026-04-22,4,1061.5,1075.51,1051.4,38.5,24.11,2.293133,False,涨,high,0.0,0.343,True,trend_up
2026-04-16,2026-04-23,5,1061.5,1077.16,1040.06,26.2,37.1,3.567102,False,涨,high,0.0,0.343,True,trend_up
2026-04-17,2026-04-20,1,1054.02,1062.98,1054.96,81.4,8.02,0.760218,True,涨,high,0.0,0.374,True,normal
2026-04-17,2026-04-21,2,1054.02,1065.43,1051.7,32.6,13.73,1.305505,False,涨,high,0.0,0.374,True,normal
2026-04-17,2026-04-22,3,1054.02,1065.85,1051.4,55.1,14.45,1.374358,False,涨,high,0.0,0.374,True,normal
2026-04-17,2026-04-23,4,1054.02,1071.94,1040.06,33.4,31.88,3.065208,False,涨,high,0.0,0.374,True,normal
2026-04-17,2026-04-24,5,1054.02,1074.06,1032.12,30.8,41.94,4.063481,False,涨,high,0.0,0.374,True,normal
